,location,total_sqft,bath,price,bhk
0,Electronic City Phase II,1056.0,2.0,39.07,2
1,Chikka Tirupathi,2600.0,5.0,120.0,4
2,Uttarahalli,1440.0,2.0,62.0,3
3,Lingadheeranahalli,1521.0,3.0,95.0,3
6,Old Airport Road,2732.0,4.0,204.0,4
8,Marathahalli,1310.0,3.0,63.25,3
13,Gottigere,1100.0,2.0,40.0,2
14,Sarjapur,2250.0,3.0,148.0,3
15,Mysore Road,1175.0,2.0,73.5,2
16,Bisuvanahalli,1180.0,3.0,48.0,3
17,Raja Rajeshwari Nagar,1540.0,3.0,60.0,3
19,other,1100.0,2.0,48.0,2
20,Kengeri,600.0,1.0,15.0,1
23,Bellandur,1767.0,3.0,103.0,3
24,Thanisandra,510.0,1.0,25.25,1
25,other,1250.0,3.0,56.0,3
26,Electronic City,660.0,1.0,23.1,2
27,Whitefield,1610.0,3.0,81.0,3
28,Ramagondanahalli,1151.0,2.0,48.77,2
29,Electronic City,1025.0,2.0,47.0,3
30,Yelahanka,2475.0,4.0,186.0,4
31,Bisuvanahalli,1075.0,2.0,35.0,3
32,Hebbal,1760.0,2.0,123.0,3
33,Raja Rajeshwari Nagar,1693.0,3.0,57.39,3
34,Kasturi Nagar,1925.0,3.0,125.0,3
35,Kanakpura Road,700.0,2.0,36.0,2
36,Electronics City Phase 1,1070.0,2.0,45.5,2
37,Kundalahalli,1724.0,3.0,125.0,3
38,Chikkalasandra,1290.0,2.0,56.12,3
39,Uttarahalli,1143.0,2.0,45.0,2
40,Murugeshpalya,1296.0,2.0,81.0,2
42,Ganga Nagar,600.0,1.0,38.0,1
46,Doddathoguru,970.0,2.0,33.0,2
49,other,869.0,2.0,36.0,2
50,other,1270.0,2.0,50.0,2
51,Bhoganhalli,1670.0,3.0,99.0,3
52,Whitefield,2010.0,3.0,91.0,3
53,Lakshminarayana Pura,1185.0,2.0,75.0,2
54,Yelahanka,1600.0,2.0,75.0,3
55,Begur Road,1200.0,2.0,44.0,2
59,other,840.0,2.0,45.0,2
60,other,4395.0,3.0,240.0,3
61,Ganga Nagar,845.0,2.0,55.0,2
63,Varthur,1160.0,2.0,44.0,2
64,Bommanahalli,3000.0,8.0,140.0,8
66,Gunjur,1140.0,2.0,43.0,2
67,Marathahalli,1220.0,2.0,57.0,2
72,Hegde Nagar,1569.0,3.0,101.0,3
73,Haralur Road,1240.0,2.0,70.0,2
74,Hennur Road,2089.0,3.0,140.0,3
75,Kothannur,1206.0,2.0,48.23,2
76,Kalena Agrahara,1150.0,2.0,40.0,2
79,ISRO Layout,4400.0,6.0,250.0,6
80,other,1660.0,2.0,105.0,3
81,Hennur Road,3203.5,2.0,224.5,4
82,Yelahanka,1326.0,2.0,78.0,2
83,Garudachar Palya,1325.0,2.0,60.8,3
84,EPIP Zone,1499.0,5.0,102.0,3
85,Hegde Nagar,3000.0,7.0,210.0,6
86,Kanakpura Road,1665.0,3.0,88.0,3
87,Dasanapura,708.0,2.0,37.0,2
88,Kasavanhalli,1060.0,2.0,58.06,2
